Description;label;variable;distribution;lower;median;upper;unit
Nutrient;Chili iron;chili_iron;posnorm;0.5;;1.5;mg/100 g
Nutrient;Carrot iron;carrot_iron;posnorm;0.1;;0.5;mg/100 g
Nutrient;Cabbage iron;cabbage_iron;posnorm;0.3;;0.8;mg/100 g
Nutrient;Rice iron;rice_iron;posnorm;0.4;;1;mg/100 g
Nutrient;Potato magnesium;potato_magnesium;posnorm;21;;25;mg/100 g
Nutrient;Shallot magnesium;shallot_magnesium;posnorm;4;;8;mg/100 g
Nutrient;Chili magnesium;chili_magnesium;posnorm;23;;28;mg/100 g
Nutrient;Carrot magnesium;carrot_magnesium;posnorm;8;;12;mg/100 g
Nutrient;Cabbage magnesium;cabbage_magnesium;posnorm;10;;14;mg/100 g
Nutrient;Rice magnesium;rice_magnesium;posnorm;23;;28;mg/100 g
Nutrient;Potato phosphorus;potato_phosphorus;posnorm;55;;60;mg/100 g
Nutrient;Shallot phosphorus;shallot_phosphorus;posnorm;27;;33;mg/100 g
Nutrient;Chili phosphorus;chili_phosphorus;posnorm;16;;20;mg/100 g
Nutrient;Carrot phosphorus;carrot_phosphorus;posnorm;33;;38;mg/100 g
Nutrient;Cabbage phosphorus;cabbage_phosphorus;posnorm;24;;28;mg/100 g
Nutrient;Rice phosphorus;rice_phosphorus;posnorm;110;;120;mg/100 g
Nutrient;Potato potassium;potato_potassium;posnorm;415;;430;mg/100 g
Nutrient;Shallot potassium;shallot_potassium;posnorm;140;;150;mg/100 g
Nutrient;Chili potassium;chili_potassium;posnorm;312;;332;mg/100 g
Nutrient;Carrot potassium;carrot_potassium;posnorm;310;;330;mg/100 g
Nutrient;Cabbage potassium;cabbage_potassium;posnorm;165;;175;mg/100 g
Nutrient;Rice potassium;rice_potassium;posnorm;110;;120;mg/100 g
Nutrient;Potato sodium;potato_sodium;posnorm;4;;8;mg/100 g
Nutrient;Shallot sodium;shallot_sodium;posnorm;2;;6;mg/100 g
Nutrient;Chili sodium;chili_sodium;posnorm;7;;11;mg/100 g
Nutrient;Carrot sodium;carrot_sodium;posnorm;67;;72;mg/100 g
Nutrient;Cabbage sodium;cabbage_sodium;posnorm;16;;20;mg/100 g
Nutrient;Rice sodium;rice_sodium;posnorm;0.8;;1.2;mg/100 g
Nutrient;Potato production cost;potato_production_cost;posnorm;73000000;;90000000;IDR/ha/season
Nutrient;Shallot production cost;shallot_production_cost;posnorm;37000000;;55000000;IDR/ha/season
Nutrient;Chili production cost;chili_production_cost;posnorm;40000000;;58000000;IDR/ha/season
Nutrient;Carrot production cost;carrot_production_cost;posnorm;26000000;;44000000;IDR/ha/season
Nutrient;Cabbage production cost;cabbage_production_cost;posnorm;18000000;;37000000;IDR/ha/season
Nutrient;Rice production cost;rice_production_cost;posnorm;14000000;;32000000;IDR/ha/season
Cost-storage maintenance;Storage maintenance cost;warehouse_maintenance_cost;posnorm;2000000;;8000000;IDR/year
Depreciation cost;Vegetable irrigation;pipe_installation;posnorm;7000000;;13000000;IDR/ha
Depreciation cost;Storage facility;warehouse;posnorm;20000000;;80000000;IDR/unit
Discount rate;Discount rate;discount_rate;posnorm;0.05;;0.1;
Year;Year of implementation;n_year;const;25;;25;
