Description;label;variable;distribution;lower;median;upper;unit;;;;;
Nutrient;Rice Folate;rice_folate;posnorm;18.00;;22.00;mcg/100 g;;;;;
Nutrient;Potato calcium;potato_calcium;posnorm;10.00;;14.00;mg/100 g;;;;;
Nutrient;Shallot calcium;shallot_calcium;posnorm;21.00;;25.00;mg/100 g;;;;;
Nutrient;Chili calcium;chili_calcium;posnorm;12.00;;16.00;mg/100 g;;;;;
Nutrient;Carrot calcium;carrot_calcium;posnorm;35.00;;39.00;mg/100 g;;;;;
Nutrient;Cabbage calcium;cabbage_calcium;posnorm;38.00;;42.00;mg/100 g;;;;;
Nutrient;Rice calcium;rice_calcium;posnorm;8.00;;12.00;mg/100 g;;;;;
Nutrient;Potato iron;potato_iron;posnorm;0.50;;1.00;mg/100 g;;;;;
Nutrient;Shallot iron;shallot_iron;posnorm;0.05;;0.40;mg/100 g;;;;;
Nutrient;Chili iron;chili_iron;posnorm;0.50;;1.50;mg/100 g;;;;;
Nutrient;Carrot iron;carrot_iron;posnorm;0.10;;0.50;mg/100 g;;;;;
Nutrient;Cabbage iron;cabbage_iron;posnorm;0.30;;0.80;mg/100 g;;;;;
Nutrient;Rice iron;rice_iron;posnorm;0.40;;1.00;mg/100 g;;;;;
Nutrient;Potato magnesium;potato_magnesium;posnorm;21.00;;25.00;mg/100 g;;;;;
Nutrient;Shallot magnesium;shallot_magnesium;posnorm;4.00;;8.00;mg/100 g;;;;;
Nutrient;Chili magnesium;chili_magnesium;posnorm;23.00;;28.00;mg/100 g;;;;;
Nutrient;Carrot magnesium;carrot_magnesium;posnorm;8.00;;12.00;mg/100 g;;;;;
Nutrient;Cabbage magnesium;cabbage_magnesium;posnorm;10.00;;14.00;mg/100 g;;;;;
Nutrient;Rice magnesium;rice_magnesium;posnorm;23.00;;28.00;mg/100 g;;;;;
Nutrient;Potato phosphorus;potato_phosphorus;posnorm;55.00;;60.00;mg/100 g;;;;;
Nutrient;Shallot phosphorus;shallot_phosphorus;posnorm;27.00;;33.00;mg/100 g;;;;;
Nutrient;Chili phosphorus;chili_phosphorus;posnorm;16.00;;20.00;mg/100 g;;;;;
Nutrient;Carrot phosphorus;carrot_phosphorus;posnorm;33.00;;38.00;mg/100 g;;;;;
Nutrient;Cabbage phosphorus;cabbage_phosphorus;posnorm;24.00;;28.00;mg/100 g;;;;;
Nutrient;Rice phosphorus;rice_phosphorus;posnorm;110.00;;120.00;mg/100 g;;;;;
Nutrient;Potato potassium;potato_potassium;posnorm;415.00;;430.00;mg/100 g;;;;;
Nutrient;Shallot potassium;shallot_potassium;posnorm;140.00;;150.00;mg/100 g;;;;;
Nutrient;Chili potassium;chili_potassium;posnorm;312.00;;332.00;mg/100 g;;;;;
Nutrient;Carrot potassium;carrot_potassium;posnorm;310.00;;330.00;mg/100 g;;;;;
Nutrient;Cabbage potassium;cabbage_potassium;posnorm;165.00;;175.00;mg/100 g;;;;;
Nutrient;Rice potassium;rice_potassium;posnorm;110.00;;120.00;mg/100 g;;;;;
Nutrient;Potato sodium;potato_sodium;posnorm;4.00;;8.00;mg/100 g;;;;;
Nutrient;Shallot sodium;shallot_sodium;posnorm;2.00;;6.00;mg/100 g;;;;;
Nutrient;Chili sodium;chili_sodium;posnorm;7.00;;11.00;mg/100 g;;;;;
Nutrient;Carrot sodium;carrot_sodium;posnorm;67.00;;72.00;mg/100 g;;;;;
Nutrient;Cabbage sodium;cabbage_sodium;posnorm;16.00;;20.00;mg/100 g;;;;;
Nutrient;Rice sodium;rice_sodium;posnorm;0.80;;1.20;mg/100 g;;;;;
Nutrient;Potato production cost;potato_production_cost;posnorm;73000000.00;;90000000.00;IDR/ha/season;;;;;
Nutrient;Shallot production cost;shallot_production_cost;posnorm;37000000.00;;55000000.00;IDR/ha/season;;;;;
Nutrient;Chili production cost;chili_production_cost;posnorm;40000000.00;;58000000.00;IDR/ha/season;;;;;
Nutrient;Carrot production cost;carrot_production_cost;posnorm;26000000.00;;44000000.00;IDR/ha/season;;;;;
Nutrient;Cabbage production cost;cabbage_production_cost;posnorm;18000000.00;;37000000.00;IDR/ha/season;;;;;
Nutrient;Rice production cost;rice_production_cost;posnorm;14000000.00;;32000000.00;IDR/ha/season;;;;;
Cost-storage maintenance;Storage maintenance cost;warehouse_maintenance_cost;posnorm;2000000.00;;8000000.00;IDR/year;;;;;
Depreciation cost;Vegetable irrigation;pipe_installation;posnorm;7000000.00;;13000000.00;IDR/ha;;;;;
Depreciation cost;Storage facility;warehouse;posnorm;20000000.00;;80000000.00;IDR/unit;;;;;
Discount rate;Discount rate;discount_rate;posnorm;0.05;;0.10;;;;;;
Year;Year of implementation;n_year;const;25.00;;25.00;;;;;;
