Description;label;variable;distribution;lower;median;upper;unit;;;;;
Nutrient;Carrot calcium;carrot_calcium;posnorm;330;;400;mg/kg;;;;;
Nutrient;Cabbage calcium;cabbage_calcium;posnorm;350;;450;mg/kg;;;;;
Nutrient;Rice calcium;rice_calcium;posnorm;50;;150;mg/kg;;;;;
Nutrient;Potato iron;potato_iron;posnorm;5;;12;mg/kg;;;;;
Nutrient;Shallot iron;shallot_iron;posnorm;1;;5;mg/kg;;;;;
Nutrient;Chili iron;chili_iron;posnorm;5;;15;mg/kg;;;;;
Nutrient;Carrot iron;carrot_iron;posnorm;1;;8;mg/kg;;;;;
Nutrient;Cabbage iron;cabbage_iron;posnorm;3;;10;mg/kg;;;;;
Nutrient;Rice iron;rice_iron;posnorm;5;;13;mg/kg;;;;;
Nutrient;Potato magnesium;potato_magnesium;posnorm;200;;270;mg/kg;;;;;
Nutrient;Shallot magnesium;shallot_magnesium;posnorm;30;;90;mg/kg;;;;;
Nutrient;Chili magnesium;chili_magnesium;posnorm;200;;300;mg/kg;;;;;
Nutrient;Carrot magnesium;carrot_magnesium;posnorm;70;;130;mg/kg;;;;;
Nutrient;Cabbage magnesium;cabbage_magnesium;posnorm;80;;170;mg/kg;;;;;
Nutrient;Rice magnesium;rice_magnesium;posnorm;200;;300;mg/kg;;;;;
Nutrient;Potato phosphorus;potato_phosphorus;posnorm;500;;600;mg/kg;;;;;
Nutrient;Shallot phosphorus;shallot_phosphorus;posnorm;250;;350;mg/kg;;;;;
Nutrient;Chili phosphorus;chili_phosphorus;posnorm;150;;250;mg/kg;;;;;
Nutrient;Carrot phosphorus;carrot_phosphorus;posnorm;300;;400;mg/kg;;;;;
Nutrient;Cabbage phosphorus;cabbage_phosphorus;posnorm;200;;300;mg/kg;;;;;
Nutrient;Rice phosphorus;rice_phosphorus;posnorm;1100;;1200;mg/kg;;;;;
Nutrient;Potato potassium;potato_potassium;posnorm;4100;;4300;mg/kg;;;;;
Nutrient;Shallot potassium;shallot_potassium;posnorm;1400;;1500;mg/kg;;;;;
Nutrient;Chili potassium;chili_potassium;posnorm;3120;;3320;mg/kg;;;;;
Nutrient;Carrot potassium;carrot_potassium;posnorm;3100;;3300;mg/kg;;;;;
Nutrient;Cabbage potassium;cabbage_potassium;posnorm;1500;;2000;mg/kg;;;;;
Nutrient;Rice potassium;rice_potassium;posnorm;1100;;1200;mg/kg;;;;;
Nutrient;Potato sodium;potato_sodium;posnorm;30;;90;mg/kg;;;;;
Nutrient;Shallot sodium;shallot_sodium;posnorm;20;;60;mg/kg;;;;;
Nutrient;Chili sodium;chili_sodium;posnorm;60;;120;mg/kg;;;;;
Nutrient;Carrot sodium;carrot_sodium;posnorm;650;;750;mg/kg;;;;;
Nutrient;Cabbage sodium;cabbage_sodium;posnorm;150;;250;mg/kg;;;;;
Nutrient;Rice sodium;rice_sodium;posnorm;5;;15;mg/kg;;;;;
Nutrient RDI;Calorie needs;calorie_needs;posnorm;1200;;1800;kcal/day;;;;;
Nutrient RDI;Protein needs;protein_needs;posnorm;0.013;;0.034;kg/day;;;;;
